year,soc_name,soc,sex_name,sex,age,num_ppl,num_ppl_moe
2015,"Computer programmers","151131","Female","2",27,1443,403.538
2015,"Computer programmers","151131","Male","1",28,8872,937.257
2015,"Computer programmers","151131","Female","2",28,1880,400.644
2015,"Computer programmers","151131","Male","1",29,8146,950.154
2015,"Computer programmers","151131","Female","2",29,1999,518.041
2015,"Computer programmers","151131","Male","1",30,10206,966.393
2015,"Computer programmers","151131","Female","2",30,1724,351.34
2015,"Computer programmers","151131","Male","1",31,9213,890.893
2015,"Computer programmers","151131","Female","2",31,2044,522.671
2015,"Computer programmers","151131","Male","1",32,9357,899.763
2015,"Computer programmers","151131","Female","2",32,1845,503.324
2015,"Computer programmers","151131","Male","1",33,9807,857.313
2015,"Computer programmers","151131","Female","2",33,2161,436.582
2015,"Computer programmers","151131","Male","1",34,8283,1004.19
2015,"Computer programmers","151131","Female","2",34,1508,347.639
2015,"Computer programmers","151131","Male","1",35,9075,831.408
2015,"Computer programmers","151131","Female","2",35,2689,582.403
2015,"Computer programmers","151131","Male","1",36,8640,789.965
2015,"Computer programmers","151131","Female","2",36,2117,538.971
2015,"Computer programmers","151131","Male","1",37,8381,725.142
2015,"Computer programmers","151131","Female","2",37,1632,382.406
2015,"Computer programmers","151131","Male","1",38,8359,764.35
2015,"Computer programmers","151131","Female","2",38,1764,376.527
2015,"Computer programmers","151131","Male","1",39,8627,864.431
2015,"Computer programmers","151131","Female","2",39,2816,477.541
2015,"Computer programmers","151131","Male","1",40,10155,953.773
2015,"Computer programmers","151131","Female","2",40,2357,555.73
2015,"Computer programmers","151131","Male","1",41,8360,870.615
2015,"Computer programmers","151131","Female","2",41,2299,461.857
2015,"Computer programmers","151131","Male","1",42,10494,1128.96
2015,"Computer programmers","151131","Female","2",42,2212,456.597
2015,"Computer programmers","151131","Male","1",43,9037,1020.2
2015,"Computer programmers","151131","Female","2",43,2193,408.133
2015,"Computer programmers","151131","Male","1",44,9006,783.259
2015,"Computer programmers","151131","Female","2",44,2668,491.48
2015,"Computer programmers","151131","Male","1",45,9324,847.401
2015,"Computer programmers","151131","Female","2",45,3301,516.55
2015,"Computer programmers","151131","Male","1",46,8109,736.184
2015,"Computer programmers","151131","Female","2",46,2317,362.627
2015,"Computer programmers","151131","Male","1",47,8982,923.083
2015,"Computer programmers","151131","Female","2",47,3061,448.78
2015,"Computer programmers","151131","Male","1",48,8274,809.519
2015,"Computer programmers","151131","Female","2",48,3362,465.803
2015,"Computer programmers","151131","Male","1",49,8010,625.021
2015,"Computer programmers","151131","Female","2",49,3116,507.095
2015,"Computer programmers","151131","Male","1",50,8458,771.777
2015,"Computer programmers","151131","Female","2",50,3543,424.335
2015,"Computer programmers","151131","Male","1",51,8532,817.344
2015,"Computer programmers","151131","Female","2",51,3907,523.77
2015,"Computer programmers","151131","Male","1",52,7003,658.903
2015,"Computer programmers","151131","Female","2",52,3114,389.683
2015,"Computer programmers","151131","Male","1",53,7603,849.223
2015,"Computer programmers","151131","Female","2",53,3150,420.822
2015,"Computer programmers","151131","Male","1",54,7829,734.923
2015,"Computer programmers","151131","Female","2",54,2853,428.992
2015,"Computer programmers","151131","Male","1",55,6384,608.74
2015,"Computer programmers","151131","Female","2",55,2617,477.568
2015,"Computer programmers","151131","Male","1",56,6776,612.782
2015,"Computer programmers","151131","Female","2",56,2179,321.207
2015,"Computer programmers","151131","Male","1",57,6638,588.959
2015,"Computer programmers","151131","Female","2",57,2500,402.317
2015,"Computer programmers","151131","Male","1",58,5348,554.797
2015,"Computer programmers","151131","Female","2",58,1932,379.392
2015,"Computer programmers","151131","Male","1",59,5285,590.425
2015,"Computer programmers","151131","Female","2",59,1495,289.427
2015,"Computer programmers","151131","Male","1",60,4696,615.625
2015,"Computer programmers","151131","Female","2",60,1605,302.668
2015,"Computer programmers","151131","Male","1",61,4128,524.207
2015,"Computer programmers","151131","Female","2",61,1547,324.155
2015,"Computer programmers","151131","Male","1",62,3847,471.08
2015,"Computer programmers","151131","Female","2",62,1375,284.979
2015,"Computer programmers","151131","Male","1",63,3449,518.288
2015,"Computer programmers","151131","Female","2",63,715,187.701
2015,"Computer programmers","151131","Male","1",64,2631,411.927
2015,"Computer programmers","151131","Female","2",64,773,232.961
2015,"Computer programmers","151131","Male","1",65,2381,388.81
2015,"Computer programmers","151131","Female","2",65,628,224.708
2015,"Computer programmers","151131","Male","1",66,1486,259.191
2015,"Computer programmers","151131","Female","2",66,494,174.275
2015,"Computer programmers","151131","Male","1",67,1435,341.991
2015,"Computer programmers","151131","Female","2",67,250,101.693
2015,"Computer programmers","151131","Male","1",68,954,251.773
2015,"Computer programmers","151131","Female","2",68,162,99.1848
2015,"Computer programmers","151131","Male","1",69,626,188.64
2015,"Computer programmers","151131","Female","2",69,215,118.78
2015,"Computer programmers","151131","Male","1",70,664,237.793
2015,"Computer programmers","151131","Female","2",70,74,47.6553
2015,"Computer programmers","151131","Male","1",71,267,103.376
2015,"Computer programmers","151131","Female","2",71,98,78.6415
2015,"Computer programmers","151131","Male","1",72,281,149.062
2015,"Computer programmers","151131","Female","2",72,48,46.3951
2015,"Computer programmers","151131","Male","1",73,257,138.451
2015,"Computer programmers","151131","Female","2",73,32,43.3981
2015,"Computer programmers","151131","Male","1",74,268,169.572
2015,"Computer programmers","151131","Female","2",74,45,66.7382
2015,"Computer programmers","151131","Male","1",75,149,78.9634
