year,geo_name,geo,soc_name,soc,avg_wage,avg_wage_moe
2014,"LA City (Central/Hancock Park & Mid-Wilshire) PUMA, CA","79500US0603730","Computer programmers","151131",75924.5,27130.2
2014,"LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA, CA","79500US0603734","Computer programmers","151131",72611.6,30016.0
2014,"LA City (Mount Washington, Highland Park & Glassell Park) PUMA, CA","79500US0603735","Computer programmers","151131",71848.1,24755.1
2014,"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA","79500US0603736","Computer programmers","151131",66632.1,21908.2
2014,"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA","79500US0603737","Computer programmers","151131",82706.9,14280.2
2014,"Los Angeles County (Central)--El Monte & South El Monte Cities PUMA","79500US0603738","Computer programmers","151131",61302.4,27106.3
2014,"Whittier City & Hacienda Heights PUMA, CA","79500US0603739","Computer programmers","151131",96233.1,10819.7
2014,"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA","79500US0603746","Computer programmers","151131",12379.8,6183.73
2014,"LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, CA","79500US0603748","Computer programmers","151131",80625.4,20082.0
2014,"Gardena, Lawndale Cities & West Athens PUMA, CA","79500US0603758","Computer programmers","151131",64160.8,27886.1
2014,"Los Angeles County (South Central)--Hawthorne City PUMA","79500US0603759","Computer programmers","151131",102372.0,47109.7
2014,"Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA, CA","79500US0603760","Computer programmers","151131",58308.2,16657.1
2014,"Los Angeles County (South Central)--Torrance City PUMA","79500US0603761","Computer programmers","151131",85069.5,24194.2
2014,"Los Angeles County (South Central)--Carson City PUMA","79500US0603762","Computer programmers","151131",66303.9,24383.6
2014,"Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA, CA","79500US0603764","Computer programmers","151131",94506.2,34716.4
2014,"Los Angeles County (Southeast)--Long Beach City (East) PUMA","79500US0603765","Computer programmers","151131",60056.8,29780.7
2014,"LA City (South/San Pedro) PUMA, CA","79500US0603767","Computer programmers","151131",127207.0,43170.5
2014,"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA","79500US0603768","Computer programmers","151131",121347.0,27444.4
2014,"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA","79500US0603769","Computer programmers","151131",63488.1,19520.7
2014,"Madera City PUMA, CA","79500US0603900","Computer programmers","151131",128722.0,64767.3
2014,"Marin County (North & West)--Novato & San Rafael (North) Cities PUMA","79500US0604101","Computer programmers","151131",116189.0,45578.7
2014,"San Rafael (South), Mill Valley & Sausalito Cities PUMA, CA","79500US0604102","Computer programmers","151131",79811.2,36169.2
2014,"Seaside, Monterey, Marina & Pacific Grove Cities PUMA, CA","79500US0605301","Computer programmers","151131",63278.9,15625.7
2014,"Monterey (South & East) & San Benito Counties PUMA, CA","79500US0605303","Computer programmers","151131",93884.8,22007.7
2014,"Napa City PUMA, CA","79500US0605500","Computer programmers","151131",103406.0,18573.0
2014,"San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA, CA","79500US0605901","Computer programmers","151131",69767.1,35847.3
2014,"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA","79500US0605902","Computer programmers","151131",102416.0,11970.2
2014,"Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA, CA","79500US0605903","Computer programmers","151131",98271.0,27310.9
2014,"Irvine City (Central) PUMA, CA","79500US0605904","Computer programmers","151131",86951.2,11132.6
2014,"Lake Forest, Irvine (North) Cities & Silverado PUMA, CA","79500US0605905","Computer programmers","151131",87057.9,14734.6
2014,"Yorba Linda, La Habra & Brea Cities PUMA, CA","79500US0605906","Computer programmers","151131",91386.3,13313.3
2014,"Fullerton & Placentia Cities PUMA, CA","79500US0605907","Computer programmers","151131",71085.8,15069.1
2014,"Buena Park, Cypress & Seal Beach Cities PUMA, CA","79500US0605908","Computer programmers","151131",84076.7,13931.5
2014,"Anaheim City (West) PUMA, CA","79500US0605909","Computer programmers","151131",63275.0,10633.2
2014,"Anaheim City (East) PUMA, CA","79500US0605910","Computer programmers","151131",91873.9,12307.1
2014,"Orange & Villa Park Cities PUMA, CA","79500US0605911","Computer programmers","151131",128791.0,72994.8
